ts	username	platform	ms_played	conn_country	ip_addr_decrypted	user_agent_decrypted	master_metadata_track_name	master_metadata_album_artist_name	master_metadata_album_album_name	spotify_track_uri	episode_name	episode_show_name	spotify_episode_uri	reason_start	reason_end	shuffle	skipped	offline	offline_timestamp	incognito_mode
2022-01-31T23:28:45Z	aspeera786	iOS 15.3 (iPhone14,5)	177706	US	174.211.192.3	unknown	Seize The Day	Ilyas Mao	Seize The Day	spotify:track:6r8jEjsby5MlCUqCoy6iRH				trackdone	trackdone	true		false	1643671546072	false
2022-01-31T23:44:10Z	aspeera786	iOS 15.3 (iPhone14,5)	133271	US	174.211.192.3	unknown	Ya Maulana	Siedd	Ya Maulana	spotify:track:5kAAsA9h1haNBi8kMelULv				trackdone	unexpected-exit-while-paused	true		false	1643671724264	false
2022-01-31T23:44:16Z	aspeera786	iOS 15.3 (iPhone14,5)	0	US	174.211.192.3	unknown	Ya Maulana	Siedd	Ya Maulana	spotify:track:5kAAsA9h1haNBi8kMelULv				appload	trackerror	true		false	1643672650034	false
2022-02-01T04:41:55Z	aspeera786	iOS 15.3 (iPhone14,5)	93204	US	97.100.166.84	unknown	After Hardship Comes Ease	Saif Adam	Heart	spotify:track:4bKRucY6ZWxMk3gxBeGpo8				playbtn	unexpected-exit-while-paused	false		false	1643672655861	false
2022-02-01T23:05:58Z	aspeera786	iOS 15.3 (iPhone14,5)	173294	US	174.211.239.186	unknown	Taking Over	Khāled Siddīq	Taking Over	spotify:track:2ddUJJWmpVk1GYTXuV4Znn				playbtn	trackdone	true		false	1643756584953	false
2022-02-01T23:09:01Z	aspeera786	iOS 15.3 (iPhone14,5)	182255	US	174.211.239.186	unknown	Redemption	Siedd	Redemption	spotify:track:47D7ds41G64iFceCWXG33Q				trackdone	trackdone	true		false	1643756757710	false
2022-02-01T23:10:01Z	aspeera786	iOS 15.3 (iPhone14,5)	5753	US	174.211.239.186	unknown	Life of This World	Ilyas Mao	Maktoob	spotify:track:330FYMYIXY1KwfvobNTBxo				trackdone	endplay	true		false	1643756940458	false
2022-02-01T23:10:03Z	aspeera786	iOS 15.3 (iPhone14,5)	2965	US	174.211.239.186	unknown	Wonders	Ilyas Mao	Maktoob	spotify:track:6YrthwpmO2D80yOzDcp9FT				playbtn	fwdbtn	true		false	1643757000255	false
2022-02-01T23:14:20Z	aspeera786	iOS 15.3 (iPhone14,5)	257620	US	174.211.239.186	unknown	Dunya (feat. Ilyas Mao)	Omar Esa	Dunya (feat. Ilyas Mao)	spotify:track:7FRlAS1XUmXEK1h391OuGD				fwdbtn	trackdone	true		false	1643757003394	false
2022-02-01T23:19:57Z	aspeera786	iOS 15.3 (iPhone14,5)	239326	US	174.211.239.186	unknown	Back to You	Siedd	Journey	spotify:track:6ec6GR5RKKgOmtL2i16Icp				trackdone	trackdone	true		false	1643757260117	false
2022-02-01T23:23:26Z	aspeera786	iOS 15.3 (iPhone14,5)	208160	US	174.211.239.186	unknown	How Far	Ilyas Mao	How Far	spotify:track:7FswaYNEy44XFI88n8jcvY				trackdone	trackdone	true		false	1643757596833	false
2022-02-01T23:30:12Z	aspeera786	iOS 15.3 (iPhone14,5)	182255	US	174.211.239.186	unknown	Redemption	Siedd	Redemption	spotify:track:47D7ds41G64iFceCWXG33Q				trackdone	trackdone	true		false	1643757805471	false
2022-02-01T23:34:00Z	aspeera786	iOS 15.3 (iPhone14,5)	228066	US	174.211.239.186	unknown	Signs	Siedd	Signs	spotify:track:1M9ZYFopIkG0d0cV7dzfyQ				trackdone	trackdone	true		false	1643758211420	false
2022-02-01T23:34:21Z	aspeera786	iOS 15.3 (iPhone14,5)	19628	US	174.211.239.186	unknown	Ya Maulana - English Version	Siedd	Ya Maulana	spotify:track:74X0QJjsSwhkjhFjg5nCum				trackdone	fwdbtn	true		false	1643758440021	false
2022-02-01T23:36:56Z	aspeera786	iOS 15.3 (iPhone14,5)	139548	US	174.211.239.186	unknown	Changes	Siedd	Changes	spotify:track:15CyLjDvkvCX3bluPIbUmc				fwdbtn	trackdone	true		false	1643758461041	false
2022-02-01T23:40:24Z	aspeera786	iOS 15.3 (iPhone14,5)	206785	US	174.211.239.186	unknown	My People	Essam	My People	spotify:track:1KnzEExnK98GmLEkBK67Ks				trackdone	trackdone	true		false	1643758616314	false
2022-02-01T23:46:36Z	aspeera786	iOS 15.3 (iPhone14,5)	184997	US	174.211.239.186	unknown	We Shall Rise	Muad	We Shall Rise	spotify:track:2UiImxEn0I9NrHT0fwvN92				trackdone	fwdbtn	true		false	1643758823540	false
2022-02-01T23:49:25Z	aspeera786	iOS 15.3 (iPhone14,5)	170024	US	174.211.239.186	unknown	I'll Just Be Me	Siedd	I'll Just Be Me	spotify:track:1Cbu7WolcQ6KQCzuEulRrQ				fwdbtn	trackdone	true		false	1643759195590	false
